Профиль,Подтип,"h, мм","b, мм","s, мм","t, мм","R, мм","А, см2","M, кг","Ix, см4","Wx, см3","ix, см","Sx, см3","Iy, см4","Wy, см3","iy, см"
60ДБ3,"дополнительной серии балочный",603.0,228.0,10.5,14.9,12.7,129.51,101.7,76354.38,2532.5,242.81,1449.82,2949.85,258.76,47.72
60ДБ4,"дополнительной серии балочный",608.0,228.0,11.2,17.3,12.7,144.49,113.4,87546.5,2879.8,246.15,1644.93,3425.21,300.46,48.69
60ДБ5,"дополнительной серии балочный",612.0,229.0,11.9,19.6,12.7,159.32,125.1,98536.48,3220.2,248.7,1837.14,3932.13,343.42,49.68
60ДБ6,"дополнительной серии балочный",617.0,230.0,13.1,22.2,12.7,178.52,140.1,111971.15,3629.5,250.45,2075.04,4513.82,392.51,50.28
10ДК1,"дополнительной серии колонный",96.0,100.0,5.0,8.0,12.0,21.24,16.7,349.23,72.8,40.55,41.51,133.81,26.76,25.1
10ДК2,"дополнительной серии колонный",100.0,100.0,6.0,10.0,12.0,26.04,20.4,449.55,89.9,41.55,52.11,167.27,33.45,25.35
10ДК3,"дополнительной серии колонный",120.0,106.0,12.0,20.0,12.0,53.24,41.8,1142.61,190.4,46.33,117.91,399.15,75.31,27.38
12ДК1,"дополнительной серии колонный",114.0,120.0,5.0,8.0,12.0,25.34,19.9,606.15,106.3,48.91,59.75,230.9,38.48,30.19
12ДК2,"дополнительной серии колонный",120.0,120.0,6.5,11.0,12.0,34.01,26.7,864.37,144.1,50.42,82.61,317.52,52.92,30.56
12ДК3,"дополнительной серии колонный",140.0,126.0,12.5,21.0,12.0,66.41,52.1,2017.57,288.2,55.12,175.31,702.78,111.55,32.53
14ДК1,"дополнительной серии колонный",133.0,140.0,5.5,8.5,12.0,31.42,24.7,1033.13,155.4,57.35,86.75,389.32,55.62,35.2
14ДК2,"дополнительной серии колонный",140.0,140.0,7.0,12.0,12.0,42.96,33.7,1509.23,215.6,59.27,122.71,549.67,78.52,35.77
14ДК3,"дополнительной серии колонный",160.0,145.0,13.0,22.0,12.0,80.12,62.9,3270.24,408.8,63.89,245.4,1121.06,154.63,37.41
15ДК1,"дополнительной серии колонный",152.0,152.0,5.8,6.6,7.6,28.61,22.5,1213.15,159.6,65.12,88.58,386.64,50.87,36.76
15ДК2,"дополнительной серии колонный",157.0,153.0,6.6,9.3,7.6,38.09,29.9,1722.51,219.4,67.25,122.56,555.61,72.63,38.19
15ДК3,"дополнительной серии колонный",162.0,154.0,8.1,11.6,7.6,47.47,37.3,2227.67,275.0,68.51,155.52,706.89,91.8,38.59
16ДК1,"дополнительной серии колонный",152.0,160.0,6.0,9.0,15.0,38.77,30.4,1672.98,220.1,65.69,122.57,615.57,76.95,39.85
16ДК2,"дополнительной серии колонный",160.0,160.0,8.0,13.0,15.0,54.25,42.6,2492.0,311.5,67.77,176.98,889.23,111.15,40.49
16ДК3,"дополнительной серии колонный",180.0,166.0,14.0,23.0,15.0,97.05,76.2,5098.27,566.5,72.48,337.28,1758.77,211.9,42.57
18ДК1,"дополнительной серии колонный",171.0,180.0,6.0,9.5,15.0,45.25,35.5,2510.29,293.6,74.48,162.43,924.61,102.73,45.2
18ДК2,"дополнительной серии колонный",180.0,180.0,8.3,14.0,15.0,64.95,51.0,3825.28,425.0,76.75,240.15,1362.76,151.42,45.81
18ДК3,"дополнительной серии колонный",200.0,186.0,14.5,24.0,15.0,113.25,88.9,7483.13,748.3,81.29,441.72,2580.13,277.43,47.73
20ДК1,"дополнительной серии колонный",203.0,203.0,7.2,11.0,10.2,58.59,46.0,4545.7,447.9,88.09,247.79,1534.57,151.19,51.18
20ДК2,"дополнительной серии колонный",206.0,204.0,7.9,12.6,10.2,66.58,52.3,5272.37,511.9,88.99,284.77,1783.95,174.9,51.76
20ДК3,"дополнительной серии колонный",210.0,205.0,9.1,14.2,10.2,75.64,59.4,6114.0,582.3,89.91,326.45,2040.5,199.07,51.94
20ДК4,"дополнительной серии колонный",216.0,206.0,10.2,17.4,10.2,91.06,71.5,7662.28,709.5,91.73,401.74,2537.25,246.33,52.78
20ДК5,"дополнительной серии колонный",222.0,209.0,13.0,20.6,10.2,110.51,86.8,9471.87,853.3,92.58,490.61,3138.43,300.33,53.29
20ДК6,"дополнительной серии колонный",229.0,210.0,14.5,23.7,10.2,126.77,99.5,11328.82,989.4,94.53,574.62,3663.55,348.91,53.76
25ДК1,"дополнительной серии колонный",253.0,254.0,8.6,14.2,12.7,92.84,72.9,11274.05,891.2,110.2,492.46,3880.25,305.53,64.65
25ДК2,"дополнительной серии колонный",256.0,255.0,9.4,15.6,12.7,102.08,80.1,12567.16,981.8,110.96,545.12,4313.58,338.32,65.01
25ДК3,"дополнительной серии колонный",260.0,256.0,10.7,17.3,12.7,114.08,89.6,14253.92,1096.5,111.78,612.99,4840.74,378.18,65.14
25ДК4,"дополнительной серии колонный",264.0,257.0,11.9,19.6,12.7,128.88,101.2,16369.03,1240.1,112.7,698.3,5549.34,431.86,65.62
